Case Number,Date,Block,Primary Type,Latitude,Longitude
HZ116153,01/14/2016 10:00:00 PM,0000X E 61ST ST,BURGLARY,41.783754659,-87.623020305
HZ117103,01/15/2016 03:00:00 PM,037XX S WENTWORTH AVE,DECEPTIVE PRACTICE,41.82618602,-87.63139377
HZ117639,01/16/2016 10:20:00 AM,011XX W 34TH PL,NARCOTICS,41.831563055,-87.654389317
HZ118082,01/16/2016 04:50:00 PM,023XX E 70TH ST,ASSAULT,41.768069623,-87.567276961
HZ117520,01/15/2016 01:00:00 PM,007XX E 69TH PL,CRIMINAL DAMAGE,41.768474586,-87.607239377
HZ118699,01/17/2016 10:40:00 AM,005XX E 50TH ST,BATTERY,41.803971222,-87.613231599
HZ119009,01/17/2016 04:23:00 PM,078XX S SOUTH SHORE DR,OTHER OFFENSE,41.754350905,-87.550585227
HZ119181,01/17/2016 07:50:00 PM,021XX E 78TH ST,NARCOTICS,41.753475495,-87.571822695
HZ119217,01/17/2016 08:45:00 PM,004XX E 43RD ST,ROBBERY,41.81664984,-87.615873945
HZ120323,01/19/2016 01:34:00 AM,009XX E 65TH ST,OTHER OFFENSE,41.776819966,-87.602045584
HZ120660,01/19/2016 11:35:00 AM,022XX S PRINCETON AVE,MOTOR VEHICLE THEFT,41.852351309,-87.634789274
HZ120717,01/19/2016 08:45:00 AM,005XX E 62ND ST,BURGLARY,41.78211045,-87.612823613
HZ120821,01/18/2016 04:27:00 PM,033XX S CARPENTER ST,OTHER OFFENSE,41.833693681,-87.652253206
HZ121010,01/19/2016 03:00:00 PM,067XX S STATE ST,OTHER OFFENSE,41.772233343,-87.625116036
HZ121347,01/19/2016 04:20:00 PM,047XX S DREXEL BLVD,CRIMINAL DAMAGE,41.808992183,-87.604361115
HZ123115,01/20/2016 07:00:00 PM,033XX S CARPENTER ST,BURGLARY,41.833443947,-87.652252184
HZ123043,01/21/2016 01:00:00 AM,074XX S DR MARTIN LUTHER KING JR DR,BURGLARY,41.759311656,-87.615142204
HZ123254,01/20/2016 09:00:00 PM,069XX S PERRY AVE,THEFT,41.768646635,-87.628253023
HZ123364,01/21/2016 02:05:00 PM,024XX E 75TH ST,BATTERY,41.759004171,-87.565064737
HZ123815,01/21/2016 02:00:00 PM,066XX S COTTAGE GROVE AVE,THEFT,41.774061033,-87.605790613
HZ123973,01/21/2016 06:52:00 PM,012XX E 67TH ST,NARCOTICS,41.773238982,-87.59565613
HZ124005,01/21/2016 11:30:00 AM,064XX S MINERVA AVE,ASSAULT,41.778100801,-87.596773617
HZ124952,01/01/2016 02:00:00 PM,001XX W 74TH ST,DECEPTIVE PRACTICE,41.760007379,-87.627772163
HZ125202,01/22/2016 09:19:00 PM,024XX E 76TH ST,OTHER OFFENSE,41.757169214,-87.566032209
HZ125217,01/22/2016 09:00:00 PM,045XX S MICHIGAN AVE,CRIMINAL DAMAGE,41.812607444,-87.622925375
HZ126210,01/23/2016 06:23:00 PM,075XX S EXCHANGE AVE,INTERFERENCE WITH PUBLIC OFFICER,41.758249941,-87.559407449
HZ126681,01/24/2016 06:45:00 AM,038XX S CALUMET AVE,MOTOR VEHICLE THEFT,41.82479034,-87.618233908
HZ127336,01/24/2016 02:00:00 PM,025XX E 77TH ST,BURGLARY,41.755399883,-87.563271576
HZ128072,01/25/2016 12:45:00 PM,053XX S WABASH AVE,BATTERY,41.797348638,-87.624157454
HZ128836,01/24/2016 07:30:00 PM,078XX S KINGSTON AVE,OFFENSE INVOLVING CHILDREN,41.753120521,-87.562624493
HZ135426,01/30/2016 08:00:00 PM,075XX S KINGSTON AVE,BURGLARY,41.758560412,-87.562728003
HZ137162,02/01/2016 05:15:00 PM,020XX E 72ND PL,BURGLARY,41.763438541,-87.574915808
HZ136063,01/31/2016 11:45:00 PM,051XX S MICHIGAN AVE,BATTERY,41.801137262,-87.622626646
HZ227685,04/15/2016 09:13:00 PM,053XX S CORNELL AVE,ROBBERY,41.798909243,-87.585503708
HZ138874,02/02/2016 05:00:00 PM,065XX S COTTAGE GROVE AVE,CRIMINAL DAMAGE,41.776322631,-87.605838376
HZ139829,02/04/2016 06:00:00 AM,063XX S COTTAGE GROVE AVE,BATTERY,41.7799566,-87.605921959
HZ140670,02/04/2016 04:12:00 PM,071XX S SOUTH CHICAGO AVE,NARCOTICS,41.765278118,-87.604738872
HZ141554,02/05/2016 03:00:00 PM,004XX E 33RD ST,CRIMINAL DAMAGE,41.834650079,-87.616847182
HZ141343,02/05/2016 12:30:00 PM,052XX S HARPER AVE,BATTERY,41.800938808,-87.589121997
HZ142338,02/06/2016 10:42:00 AM,004XX W 79TH ST,BATTERY,41.750775808,-87.63455036
HZ143703,02/06/2016 12:00:00 PM,052XX S HARPER AVE,OTHER OFFENSE,41.800938808,-87.589121997
HZ144786,02/06/2016 02:00:00 PM,071XX S RIDGELAND AVE,BURGLARY,41.765719051,-87.582436322
HZ143143,02/07/2016 01:15:00 AM,049XX S DREXEL BLVD,BATTERY,41.805341531,-87.603808314
HZ143741,02/07/2016 03:55:00 PM,078XX S INGLESIDE AVE,BATTERY,41.752601317,-87.601576596
HZ144082,02/07/2016 11:30:00 AM,057XX S INDIANA AVE,BATTERY,41.790376197,-87.620736031
HZ144113,02/07/2016 07:00:00 PM,007XX E 69TH ST,THEFT,41.769488382,-87.606553443
HZ144126,02/08/2016 02:30:00 AM,040XX S CALUMET AVE,BATTERY,41.821518024,-87.618490443
HZ145217,02/08/2016 03:00:00 PM,056XX S WABASH AVE,CRIMINAL DAMAGE,41.792229722,-87.624023196
HZ145453,02/08/2016 10:00:00 AM,053XX S PRAIRIE AVE,THEFT,41.797485906,-87.619293014
HZ145439,02/09/2016 12:01:00 AM,057XX S WABASH AVE,CRIMINAL DAMAGE,41.790420977,-87.623980798
HZ146423,02/10/2016 04:15:00 AM,043XX S MICHIGAN AVE,BATTERY,41.815623898,-87.623005761
HZ228850,04/16/2016 07:15:00 PM,071XX S CRANDON AVE,BATTERY,41.7657124,-87.568943504
HZ149014,02/11/2016 09:35:00 PM,061XX S MICHIGAN AVE,CRIMINAL DAMAGE,41.783096233,-87.622165934
HZ149376,02/12/2016 02:30:00 PM,032XX S STATE ST,BATTERY,41.8363442,-87.626739832
HZ149671,02/12/2016 08:00:00 PM,001XX E 75TH ST,CRIMINAL DAMAGE,41.75830449,-87.620871042
HZ149727,02/12/2016 09:03:00 PM,064XX S DR MARTIN LUTHER KING JR DR,BATTERY,41.777522654,-87.615558647
HZ228334,04/16/2016 11:59:00 AM,017XX E 68TH ST,BATTERY,41.771520589,-87.583292464
HZ133785,01/30/2016 12:41:00 AM,0000X E GARFIELD BLVD,ASSAULT,41.794672085,-87.623570871
HZ156555,02/15/2016 02:30:00 PM,071XX S RHODES AVE,OTHER OFFENSE,41.765241985,-87.611623142
HZ153066,02/16/2016 05:29:00 AM,048XX S COTTAGE GROVE AVE,BURGLARY,41.806719776,-87.60650325
HZ153711,02/16/2016 04:25:00 PM,003XX E 47TH ST,ASSAULT,41.809347098,-87.618919216
HZ153975,02/16/2016 07:30:00 PM,061XX S KIMBARK AVE,THEFT,41.783653002,-87.594715458
HZ154200,02/17/2016 03:00:00 AM,053XX S WABASH AVE,BATTERY,41.797483144,-87.624163306
HZ155332,02/17/2016 11:00:00 AM,052XX S BLACKSTONE AVE,CRIMINAL DAMAGE,41.800609952,-87.590464455
HZ155541,02/18/2016 07:57:00 AM,058XX S DR MARTIN LUTHER KING JR DR,THEFT,41.788353264,-87.615822861
HZ229423,04/17/2016 09:38:00 AM,077XX S SAGINAW AVE,BATTERY,41.754930421,-87.559975081
HZ156675,02/19/2016 02:20:00 AM,076XX S COTTAGE GROVE AVE,ROBBERY,41.756003356,-87.605323898
HZ156946,02/19/2016 07:45:00 AM,008XX E 50TH ST,ASSAULT,41.804084538,-87.605520738
HZ158079,02/19/2016 08:48:00 PM,063XX S CALUMET AVE,CRIMINAL TRESPASS,41.778436306,-87.617286275
HZ158401,02/20/2016 12:00:00 AM,007XX E 79TH ST,BURGLARY,41.751270467,-87.60591976
HZ158965,02/20/2016 04:15:00 PM,029XX S WABASH AVE,ROBBERY,41.841310193,-87.625220923
HZ230033,04/17/2016 04:00:00 PM,073XX S GREENWOOD AVE,THEFT,41.761539675,-87.598165269
