Case Number,Date,Block,Primary Type,Latitude,Longitude
HZ449573,09/25/2016 08:35:00 PM,051XX S DR MARTIN LUTHER KING JR DR,THEFT,41.801464696,-87.616142391
HZ449248,09/25/2016 03:20:00 PM,002XX W CERMAK RD,BATTERY,41.852835946,-87.633257061
HZ450487,09/25/2016 04:00:00 PM,071XX S OGLESBY AVE,THEFT,41.765394143,-87.567719329
HZ452869,09/25/2016 10:00:00 AM,076XX S COLFAX AVE,CRIMINAL DAMAGE,41.756282427,-87.561468835
HZ450962,09/26/2016 05:43:00 PM,070XX S EBERHART AVE,OTHER OFFENSE,41.7666686,-87.612868123
HZ451134,09/26/2016 09:50:00 PM,035XX S MICHIGAN AVE,PUBLIC PEACE VIOLATION,41.830611847,-87.623247369
HZ451437,09/26/2016 08:00:00 PM,001XX W 75TH ST,BATTERY,41.758172871,-87.62845198
HZ451902,09/26/2016 10:00:00 PM,069XX S CRANDON AVE,CRIMINAL DAMAGE,41.769305243,-87.569853949
HZ452075,09/26/2016 12:15:00 PM,074XX S SOUTH SHORE DR,THEFT,41.761324418,-87.557908051
HZ451555,09/27/2016 06:00:00 AM,057XX S INDIANA AVE,BATTERY,41.790356988,-87.620736244
HZ452674,09/28/2016 07:33:00 AM,067XX S BLACKSTONE AVE,OTHER OFFENSE,41.772132232,-87.588725561
HZ453076,09/28/2016 02:00:00 AM,017XX E 78TH ST,THEFT,41.753356075,-87.581609252
HZ453062,09/28/2016 12:05:00 PM,001XX W 35TH ST,BATTERY,41.830954079,-87.630703226
HZ452957,09/28/2016 09:00:00 AM,073XX S PHILLIPS AVE,ASSAULT,41.761727593,-87.564815996
HZ453733,09/28/2016 07:30:00 PM,005XX E 33RD ST,ROBBERY,41.834690813,-87.613705645
HZ453952,09/29/2016 02:00:00 AM,008XX E 47TH ST,THEFT,41.809543836,-87.605668023
HZ454687,09/29/2016 04:33:00 PM,077XX S EUCLID AVE,ROBBERY,41.754773883,-87.577275421
HZ454801,09/29/2016 06:20:00 PM,0000X E 57TH ST,ASSAULT,41.791023211,-87.62507059
HZ454717,09/29/2016 11:00:00 AM,006XX E 51ST ST,CRIMINAL DAMAGE,41.802199221,-87.609429765
HZ455611,09/29/2016 08:00:00 AM,073XX S YALE AVE,BATTERY,41.761135248,-87.630900966
HZ455759,09/29/2016 10:00:00 PM,001XX W 74TH ST,ROBBERY,41.759991836,-87.628816924
HZ456130,09/30/2016 05:40:00 PM,069XX S SOUTH SHORE DR,CRIMINAL TRESPASS,41.769447819,-87.566538409
HZ456192,09/30/2016 05:40:00 PM,074XX S STONY ISLAND AVE,OTHER OFFENSE,41.760197194,-87.58617327
HZ456571,10/01/2016 01:30:00 AM,011XX E 43RD ST,BATTERY,41.816912319,-87.598357726
HZ456562,10/01/2016 12:40:00 AM,002XX W 38TH ST,BATTERY,41.825136455,-87.63298655
HZ457946,10/01/2016 07:30:00 PM,064XX S MARYLAND AVE,CRIMINAL TRESPASS,41.777390765,-87.604634783
HZ457745,10/02/2016 01:30:00 AM,002XX E GARFIELD BLVD,BATTERY,41.794402412,-87.620350386
HZ458003,10/02/2016 09:45:00 AM,015XX E 70TH ST,OTHER OFFENSE,41.767867071,-87.587374597
HZ456237,09/30/2016 08:30:00 PM,008XX E 77TH ST,BATTERY,41.754940508,-87.604764179
HZ462306,10/01/2016 10:00:00 AM,017XX E 67TH ST,THEFT,41.773380362,-87.582321307
HZ463408,09/23/2016 12:01:00 AM,045XX S ST LAWRENCE AVE,THEFT,41.812382706,-87.611527045
HZ460370,10/03/2016 09:00:00 PM,039XX S MICHIGAN AVE,MOTOR VEHICLE THEFT,41.823320055,-87.623203203
HZ460588,10/04/2016 10:00:00 AM,035XX S STATE ST,ROBBERY,41.830619057,-87.626641352
HZ460971,10/04/2016 04:00:00 PM,036XX S WENTWORTH AVE,DECEPTIVE PRACTICE,41.827797157,-87.631434876
HZ460488,10/04/2016 10:00:00 AM,029XX S STATE ST,THEFT,41.841350479,-87.626860911
HZ468190,09/30/2016 10:00:00 AM,075XX S MERRILL AVE,BATTERY,41.758002356,-87.572465551
HZ468315,10/05/2016 06:00:00 PM,072XX S WOODLAWN AVE,BATTERY,41.76393126,-87.59579941
HZ463593,10/06/2016 01:30:00 PM,071XX S STATE ST,THEFT,41.765162688,-87.624896894
HZ466698,10/08/2016 06:15:00 PM,068XX S DANTE AVE,ASSAULT,41.770913736,-87.589568135
HZ467129,10/09/2016 06:30:00 AM,002XX W 47TH ST,THEFT,41.809125265,-87.631906508
HZ470100,10/09/2016 01:37:00 AM,073XX S STONY ISLAND AVE,DECEPTIVE PRACTICE,41.761857773,-87.586216316
HZ472306,09/29/2016 07:00:00 AM,068XX S CLYDE AVE,OTHER OFFENSE,41.770734917,-87.573979392
HZ468000,10/10/2016 12:36:00 AM,074XX S KINGSTON AVE,BATTERY,41.759641783,-87.56315489
HZ468180,10/10/2016 08:05:00 AM,065XX S EVANS AVE,BATTERY,41.776190615,-87.607093691
HZ468446,10/10/2016 11:15:00 AM,036XX S LAKE PARK AVE,BATTERY,41.829538814,-87.607004696
HZ468739,10/10/2016 03:25:00 PM,047XX S SHIELDS AVE,WEAPONS VIOLATION,41.808375825,-87.634566639
HZ469140,10/10/2016 09:05:00 PM,021XX S TAN CT,ROBBERY,41.855736319,-87.633207077
HZ470038,10/10/2016 01:00:00 PM,027XX S HALSTED ST,ROBBERY,41.844452205,-87.646432188
HZ469467,10/11/2016 12:01:00 AM,0000X E 29TH ST,CRIMINAL DAMAGE,41.841959043,-87.6263074
HZ469541,10/11/2016 08:55:00 AM,003XX W CERMAK RD,BATTERY,41.85287855,-87.635748886
HZ471283,10/12/2016 01:15:00 PM,074XX S STEWART AVE,BATTERY,41.759444866,-87.634518627
HZ471763,10/12/2016 06:49:00 PM,078XX S COTTAGE GROVE AVE,ASSAULT,41.752149728,-87.605224518
HZ471910,10/12/2016 08:26:00 PM,0000X W 79TH ST,THEFT,41.750940757,-87.625185222
HZ471981,10/12/2016 09:45:00 PM,062XX S DR MARTIN LUTHER KING JR DR,BATTERY,41.781296636,-87.615652218
HZ475030,10/01/2016 12:00:00 PM,048XX S DREXEL BLVD,THEFT,41.807067906,-87.603843747
HZ478137,09/22/2016 08:01:00 PM,051XX S KENWOOD AVE,CRIMINAL DAMAGE,41.801790103,-87.593458263
HZ473382,10/13/2016 10:15:00 PM,042XX S PRINCETON AVE,THEFT,41.81691816,-87.633567673
HZ474302,10/14/2016 01:55:00 PM,057XX S UNIVERSITY AVE,THEFT,41.790919372,-87.59806068
HZ474320,10/14/2016 09:30:00 AM,039XX S LAKE PARK AVE,OTHER OFFENSE,41.823125769,-87.602725951
HZ474336,10/14/2016 05:12:00 PM,0000X E GARFIELD BLVD,ASSAULT,41.794678414,-87.623262756
HZ331198,06/21/2016 06:00:00 PM,009XX N MICHIGAN AVE,DECEPTIVE PRACTICE,41.812689592,-87.599326729
HZ475182,10/15/2016 10:26:00 AM,073XX S STONY ISLAND AVE,ROBBERY,41.762184391,-87.586223523
HZ475775,10/15/2016 07:49:00 PM,074XX S WENTWORTH AVE,BATTERY,41.75936842,-87.629637416
HZ476938,10/15/2016 03:15:00 PM,073XX S DR MARTIN LUTHER KING JR DR,BURGLARY,41.761471749,-87.615195089
HZ476371,10/16/2016 09:30:00 AM,047XX S LANGLEY AVE,ROBBERY,41.808727686,-87.608967461
HZ476764,10/16/2016 04:00:00 PM,0000X E 75TH ST,BATTERY,41.758277853,-87.62233006
HZ477104,10/16/2016 09:20:00 PM,003XX W GARFIELD BLVD,BATTERY,41.794509508,-87.633301738
HZ476587,10/16/2016 01:30:00 PM,063XX S RHODES AVE,ROBBERY,41.779682122,-87.612007536
HZ477865,10/16/2016 10:00:00 PM,078XX S BENNETT AVE,THEFT,41.752940239,-87.578458689
HZ484197,10/14/2016 07:14:00 PM,004XX E 34TH ST,DECEPTIVE PRACTICE,41.833139425,-87.615319213
HZ481178,10/17/2016 11:55:00 AM,067XX S JEFFERY BLVD,DECEPTIVE PRACTICE,41.772998982,-87.576478539
HZ473485,10/13/2016 01:00:00 PM,035XX S DR MARTIN LUTHER KING JR DR,DECEPTIVE PRACTICE,41.831014114,-87.617317037
HZ479737,10/18/2016 05:50:00 PM,050XX S CALUMET AVE,BATTERY,41.803051442,-87.617991547
HZ479796,10/18/2016 09:00:00 AM,049XX S FORRESTVILLE AVE,THEFT,41.804902837,-87.612564633
HZ479710,10/18/2016 05:05:00 PM,071XX S DR MARTIN LUTHER KING JR DR,ROBBERY,41.765253769,-87.615255549
HZ480010,10/18/2016 10:20:00 PM,002XX E 78TH ST,MOTOR VEHICLE THEFT,41.752865943,-87.619208721
HZ480055,10/18/2016 11:20:00 PM,004XX E 33RD PL,ROBBERY,41.833621987,-87.616568763
HZ480522,10/19/2016 11:15:00 AM,045XX S DREXEL BLVD,BATTERY,41.812412001,-87.604432386
HZ488356,10/19/2016 08:00:00 PM,017XX E 73RD PL,OTHER OFFENSE,41.76154471,-87.581975513
HZ481544,10/20/2016 08:13:00 AM,063XX S DORCHESTER AVE,ROBBERY,41.780114086,-87.591496665
HZ481776,10/20/2016 11:00:00 AM,054XX S WENTWORTH AVE,THEFT,41.794802575,-87.630511466
HZ482375,10/20/2016 06:00:00 PM,008XX E 79TH ST,BATTERY,41.751305337,-87.603628907
HZ482572,10/20/2016 09:25:00 PM,074XX S DREXEL AVE,BATTERY,41.759920977,-87.602966863
HZ482567,10/20/2016 09:17:00 PM,041XX S INDIANA AVE,BATTERY,41.819184731,-87.621476957
HZ482935,10/20/2016 08:00:00 PM,006XX E 38TH PL,THEFT,41.824849878,-87.61151911
HZ483583,10/20/2016 10:30:00 PM,036XX S GILES AVE,THEFT,41.828306726,-87.619273498
HZ482752,10/21/2016 04:17:00 AM,078XX S ESCANABA AVE,ROBBERY,41.752950248,-87.554061838
HZ483763,10/21/2016 06:20:00 PM,001XX E PERSHING RD,ASSAULT,41.82376346,-87.622570927
HZ485812,10/21/2016 04:30:00 PM,004XX E 31ST ST,THEFT,41.838428185,-87.616727976
HZ487485,10/21/2016 08:00:00 AM,076XX S LANGLEY AVE,MOTOR VEHICLE THEFT,41.756260416,-87.607783884
HZ484605,10/22/2016 08:00:00 AM,068XX S OGLESBY AVE,BATTERY,41.771092272,-87.568278435
HZ484060,10/22/2016 01:18:00 AM,078XX S LAFAYETTE AVE,OTHER OFFENSE,41.751425019,-87.625835888
HZ485112,10/22/2016 06:00:00 PM,049XX S VINCENNES AVE,CRIMINAL DAMAGE,41.804954928,-87.613869783
HZ485116,10/22/2016 09:00:00 AM,067XX S OGLESBY AVE,BURGLARY,41.772618367,-87.568318955
HZ486136,10/23/2016 06:30:00 PM,051XX S STATE ST,BATTERY,41.800589133,-87.625856473
HZ485937,10/23/2016 03:26:00 PM,043XX S WABASH AVE,CRIMINAL DAMAGE,41.815933131,-87.624642127
HZ486412,10/23/2016 10:10:00 PM,067XX S CREGIER AVE,BATTERY,41.772935266,-87.581402676
HZ487170,10/23/2016 09:00:00 PM,035XX S HALSTED ST,THEFT,41.828859809,-87.646059538
HZ487553,10/23/2016 09:00:00 PM,055XX S STATE ST,THEFT,41.793801426,-87.62567809
HZ487792,10/23/2016 08:20:00 PM,004XX E PERSHING RD,THEFT,41.82386008,-87.615162409
HZ485486,10/23/2016 08:22:00 AM,066XX S VERNON AVE,HOMICIDE,41.774279153,-87.614282368
HZ490484,10/20/2016 03:30:00 PM,021XX S ARCHER AVE,THEFT,41.853807787,-87.632868393
HZ492327,10/07/2016 09:00:00 AM,026XX S INDIANA AVE,THEFT,41.845105566,-87.622121892
HZ487022,10/24/2016 10:00:00 AM,054XX S WENTWORTH AVE,OTHER OFFENSE,41.795991039,-87.630542489
HZ487019,10/24/2016 12:20:00 PM,055XX S WOODLAWN AVE,CRIMINAL DAMAGE,41.794488115,-87.596531012
HZ492763,10/25/2016 10:00:00 AM,013XX E MADISON AVENUE PARK,CRIMINAL DAMAGE,41.803205578,-87.594648648
HZ491665,10/26/2016 04:00:00 AM,066XX S HARTWELL AVE,BURGLARY,41.774200754,-87.62152367
HZ492672,10/27/2016 09:00:00 PM,051XX S CORNELL AVE,CRIMINAL DAMAGE,41.801936668,-87.586422087
HZ492117,10/28/2016 04:25:00 AM,075XX S COTTAGE GROVE AVE,ROBBERY,41.757567866,-87.605364858
HZ493171,10/28/2016 07:30:00 PM,002XX W 19TH ST,BATTERY,41.856619252,-87.632639494
HZ493210,10/28/2016 08:00:00 PM,004XX E 50TH ST,THEFT,41.803941977,-87.61513548
HZ495247,10/30/2016 02:05:00 AM,071XX S WABASH AVE,BURGLARY,41.765015549,-87.623289351
HZ498070,11/01/2016 12:50:00 PM,073XX S DORCHESTER AVE,BATTERY,41.761767254,-87.590879664
HZ499429,11/01/2016 10:30:00 PM,032XX S LAKE SHORE DR NB,MOTOR VEHICLE THEFT,41.835402872,-87.607804405
HZ498764,11/01/2016 08:00:00 PM,039XX S DR MARTIN LUTHER KING JR SD,ROBBERY,41.8233709,-87.617248109
HZ507048,10/20/2016 09:00:00 AM,073XX S WABASH AVE,THEFT,41.761227906,-87.623206489
HZ499384,11/02/2016 12:00:00 PM,026XX S CALUMET AVE,ASSAULT,41.845085249,-87.618848403
HZ499511,11/02/2016 01:20:00 PM,033XX S PRAIRIE AVE,ROBBERY,41.834237147,-87.620609318
HZ500706,11/02/2016 06:30:00 PM,037XX S WELLS ST,OTHER OFFENSE,41.826068451,-87.63236367
HZ500753,11/03/2016 09:55:00 AM,032XX S FEDERAL ST,CRIMINAL TRESPASS,41.835391672,-87.628930011
HZ500435,11/03/2016 04:25:00 AM,028XX S DR MARTIN LUTHER KING JR DR,THEFT,41.843016958,-87.61722727
HZ501645,11/03/2016 11:20:00 PM,035XX S LAKE PARK AVE,CRIMINAL TRESPASS,41.83073842,-87.607930466
HZ502800,11/04/2016 08:20:00 PM,013XX E 76TH ST,ROBBERY,41.756895475,-87.591628513
HZ503659,11/04/2016 01:00:00 PM,008XX E 49TH ST,BURGLARY,41.805903047,-87.605804587
HZ502144,11/04/2016 01:10:00 PM,054XX S WENTWORTH AVE,ROBBERY,41.795991039,-87.630542489
HZ485255,10/20/2016 06:00:00 PM,062XX S KIMBARK AVE,BATTERY,41.780993395,-87.59465432
HZ501677,11/04/2016 12:30:00 AM,001XX W CERMAK RD,ROBBERY,41.852868298,-87.63091491
HZ503514,11/05/2016 03:00:00 AM,040XX S INDIANA AVE,DECEPTIVE PRACTICE,41.82125427,-87.621534747
HZ506866,11/05/2016 07:00:00 PM,078XX S EVANS AVE,BURGLARY,41.752091735,-87.606467534
HZ505015,11/06/2016 01:40:00 PM,003XX W 33RD ST,ROBBERY,41.834542012,-87.635397616
HZ505554,11/06/2016 05:00:00 PM,032XX S PRAIRIE AVE,THEFT,41.835686337,-87.620644613
HZ505789,11/06/2016 02:00:00 PM,012XX W 33RD ST,MOTOR VEHICLE THEFT,41.834281036,-87.656910874
HZ506544,11/07/2016 04:20:00 PM,0000X E 75TH ST,THEFT,41.758214815,-87.624119338
HZ507192,11/08/2016 07:00:00 AM,075XX S STONY ISLAND AVE,ASSAULT,41.758536614,-87.586130225
HZ507602,11/08/2016 12:00:00 PM,021XX E 71ST ST,ASSAULT,41.766102387,-87.573539169
HZ507519,11/08/2016 11:41:00 AM,064XX S DR MARTIN LUTHER KING JR DR,BATTERY,41.777558327,-87.615558249
HZ509170,11/09/2016 05:44:00 PM,074XX S KIMBARK AVE,ASSAULT,41.759886291,-87.593258083
HZ509323,11/09/2016 08:10:00 PM,074XX S VERNON AVE,ASSAULT,41.759539968,-87.613911815
HZ511547,11/11/2016 04:12:00 PM,062XX S LANGLEY AVE,BATTERY,41.781695764,-87.608413831
HZ512021,11/11/2016 08:00:00 PM,004XX E 33RD ST,THEFT,41.834650079,-87.616847182
HZ512322,11/11/2016 03:00:00 PM,057XX S MICHIGAN AVE,DECEPTIVE PRACTICE,41.790537186,-87.622358716
HZ515267,11/11/2016 10:00:00 AM,074XX S KENWOOD AVE,BURGLARY,41.759672616,-87.592040024
HZ513265,11/12/2016 11:06:00 PM,070XX S EAST END AVE,BATTERY,41.767036006,-87.582809521
HZ481065,10/18/2016 08:30:00 AM,002XX E PERSHING RD,THEFT,41.823798151,-87.619756522
HZ514404,11/14/2016 12:36:00 AM,029XX S STATE ST,OTHER OFFENSE,41.841103444,-87.626852618
HZ515126,11/14/2016 03:00:00 PM,008XX E BOWEN AVE,THEFT,41.819478272,-87.605694971
HZ516663,11/15/2016 05:30:00 PM,019XX E 71ST ST,THEFT,41.766056625,-87.577835759
HZ516889,11/15/2016 12:01:00 AM,033XX S PRAIRIE AVE,CRIMINAL TRESPASS,41.833806259,-87.62060309
HZ517082,11/15/2016 08:00:00 PM,002XX W PERSHING RD,CRIMINAL DAMAGE,41.823626648,-87.632911282
HZ517448,11/15/2016 08:15:00 AM,077XX S BURNHAM AVE,ASSAULT,41.754691074,-87.557038686
HZ517917,11/16/2016 04:30:00 PM,067XX S EAST END AVE,OTHER OFFENSE,41.772731693,-87.583846578
HZ518480,11/16/2016 07:00:00 PM,004XX W 37TH ST,THEFT,41.827208726,-87.638012596
HZ519203,11/16/2016 12:00:00 PM,074XX S INDIANA AVE,CRIMINAL DAMAGE,41.759500771,-87.61994884
HZ518432,11/17/2016 03:28:00 AM,026XX E 79TH ST,ROBBERY,41.751815845,-87.560005138
HZ519599,11/17/2016 07:56:00 PM,009XX E 54TH ST,BURGLARY,41.79791037,-87.603430511
HZ519866,11/18/2016 01:45:00 AM,065XX S DR MARTIN LUTHER KING JR DR,ROBBERY,41.776056961,-87.615519998
HZ520331,11/18/2016 12:12:00 PM,029XX S FEDERAL ST,BATTERY,41.841471897,-87.629204627
HZ520671,11/18/2016 03:52:00 PM,016XX E 69TH ST,NARCOTICS,41.769703142,-87.58570739
HZ521985,11/18/2016 07:30:00 PM,038XX S MICHIGAN AVE,DECEPTIVE PRACTICE,41.824933076,-87.623104662
HZ521348,11/19/2016 04:57:00 AM,061XX S EBERHART AVE,BATTERY,41.783194497,-87.613269795
HZ521399,11/19/2016 07:35:00 AM,001XX E MARQUETTE RD,BATTERY,41.772864802,-87.621164513
HZ521515,11/19/2016 10:09:00 AM,007XX E 47TH ST,CRIMINAL TRESPASS,41.809519024,-87.607384952
HZ522046,11/19/2016 05:00:00 PM,075XX S EXCHANGE AVE,ROBBERY,41.759012808,-87.560215615
HZ522370,11/20/2016 12:29:00 AM,068XX S HARPER AVE,BATTERY,41.770975033,-87.588016771
HZ522733,11/20/2016 11:50:00 AM,036XX S UNION AVE,OTHER OFFENSE,41.828219399,-87.643604407
HZ522933,11/20/2016 08:30:00 AM,077XX S COTTAGE GROVE AVE,CRIMINAL DAMAGE,41.754458054,-87.605282723
HZ523007,11/20/2016 04:25:00 PM,035XX S WENTWORTH AVE,BATTERY,41.830739397,-87.631498134
HZ523006,11/20/2016 04:10:00 PM,045XX S DREXEL BLVD,ASSAULT,41.812244589,-87.604430616
HZ524914,11/20/2016 06:00:00 PM,016XX E 78TH ST,THEFT,41.753318978,-87.584754123
HZ523455,11/21/2016 07:00:00 AM,075XX S STONY ISLAND AVE,THEFT,41.757614433,-87.586115266
HZ524812,11/22/2016 05:20:00 AM,006XX E 40TH ST,ASSAULT,41.821458315,-87.610702387
HZ527162,11/23/2016 07:00:00 PM,002XX E 75TH ST,ROBBERY,41.758332874,-87.619254403
HZ527245,11/23/2016 08:30:00 PM,033XX S SHIELDS AVE,BATTERY,41.834088146,-87.635222743
HZ527357,11/23/2016 10:00:00 PM,043XX S DEARBORN ST,CRIMINAL DAMAGE,41.816216158,-87.627375659
HZ531645,11/21/2016 03:00:00 PM,036XX S RHODES AVE,THEFT,41.828762287,-87.614436164
HZ527526,11/24/2016 03:30:00 AM,002XX W CERMAK RD,ROBBERY,41.852829615,-87.633569125
HZ528116,11/24/2016 09:00:00 PM,077XX S CALUMET AVE,BATTERY,41.753832179,-87.616603276
HZ528488,11/25/2016 10:50:00 AM,012XX E 64TH ST,ROBBERY,41.778716417,-87.595630021
HZ528619,11/25/2016 11:21:00 AM,074XX S VERNON AVE,PUBLIC PEACE VIOLATION,41.759295673,-87.613903548
HZ529152,11/25/2016 09:32:00 PM,026XX E 79TH ST,NARCOTICS,41.751815845,-87.560005138
HZ529241,11/26/2016 12:15:00 AM,013XX E 76TH ST,BATTERY,41.756895475,-87.591628513
HZ461762,10/05/2016 07:37:00 AM,072XX S SOUTH CHICAGO AVE,ROBBERY,41.763093575,-87.601702974
HZ531101,11/27/2016 06:15:00 PM,064XX S DORCHESTER AVE,CRIMINAL DAMAGE,41.777934952,-87.591470452
HZ531370,11/27/2016 08:00:00 AM,066XX S MARYLAND AVE,CRIMINAL DAMAGE,41.774349728,-87.604577555
HZ535026,11/24/2016 08:00:00 PM,015XX E 67TH PL,CRIMINAL DAMAGE,41.772409096,-87.587831537
HZ535887,11/13/2016 03:00:00 PM,056XX S DORCHESTER AVE,DECEPTIVE PRACTICE,41.792477873,-87.591618148
HZ537095,11/25/2016 12:01:00 AM,029XX E 79TH ST,DECEPTIVE PRACTICE,41.751901325,-87.553568788
HZ532019,11/28/2016 12:01:00 AM,067XX S INDIANA AVE,OTHER OFFENSE,41.772425799,-87.62029321
HZ532813,11/28/2016 09:07:00 PM,001XX E 79TH ST,OTHER OFFENSE,41.751013563,-87.620980989
HZ534555,11/28/2016 10:00:00 AM,048XX S LAKE PARK AVE,DECEPTIVE PRACTICE,41.806890268,-87.589834384
HZ533541,11/29/2016 03:30:00 PM,071XX S CHAMPLAIN AVE,PUBLIC PEACE VIOLATION,41.765191113,-87.609208131
HZ534496,11/29/2016 11:10:00 AM,050XX S ST LAWRENCE AVE,THEFT,41.802847689,-87.611303981
HZ535257,11/30/2016 08:37:00 PM,075XX S STONY ISLAND AVE,THEFT,41.757614433,-87.586115266
HZ536103,11/30/2016 11:00:00 AM,072XX S DR MARTIN LUTHER KING JR DR,ROBBERY,41.763428709,-87.615239245
HZ539463,11/26/2016 09:10:00 PM,013XX E 62ND ST,THEFT,41.782367135,-87.593622932
HZ540920,11/20/2016 01:35:00 PM,047XX S INDIANA AVE,CRIMINAL DAMAGE,41.808653221,-87.62119742
HZ541081,11/28/2016 04:42:00 PM,001XX E 78TH ST,OTHER OFFENSE,41.752839871,-87.620755566
HZ537287,12/02/2016 01:50:00 PM,0000X W 69TH ST,BATTERY,41.769185486,-87.625732415
HZ537292,12/02/2016 03:05:00 PM,001XX E 51ST ST,ASSAULT,41.8020092,-87.622063199
HZ537496,12/02/2016 04:15:00 PM,027XX S DEARBORN ST,BATTERY,41.844074267,-87.628442088
HZ538089,12/03/2016 06:00:00 AM,078XX S CREGIER AVE,BATTERY,41.752593957,-87.580892513
HZ539046,12/03/2016 09:09:00 PM,068XX S DR MARTIN LUTHER KING JR DR,WEAPONS VIOLATION,41.771132967,-87.615402602
HZ539068,12/03/2016 07:30:00 PM,033XX S WENTWORTH AVE,CRIMINAL DAMAGE,41.834112659,-87.631589714
HZ537966,12/03/2016 12:05:00 AM,078XX S EXCHANGE AVE,PROSTITUTION,41.753602854,-87.554387446
HZ539675,12/03/2016 12:00:00 PM,018XX E 78TH ST,OTHER OFFENSE,41.753384227,-87.579204781
HZ538634,12/03/2016 03:00:00 PM,018XX E 72ND ST,BATTERY,41.764293597,-87.580162023
HZ539760,12/04/2016 02:45:00 PM,049XX S FORRESTVILLE AVE,BATTERY,41.804996159,-87.612567255
HZ540371,12/05/2016 12:00:00 AM,037XX S INDIANA AVE,THEFT,41.826279773,-87.621655195
HZ541368,12/05/2016 07:30:00 PM,057XX S MICHIGAN AVE,BATTERY,41.790537186,-87.622358716
HZ541688,12/05/2016 05:00:00 PM,069XX S CALUMET AVE,OTHER OFFENSE,41.767992049,-87.616929557
HZ547114,12/05/2016 02:30:00 PM,074XX S COLFAX AVE,BATTERY,41.760142627,-87.562133631
HZ542627,12/06/2016 04:30:00 PM,072XX S WENTWORTH AVE,OTHER OFFENSE,41.762988626,-87.629715154
HZ545459,12/06/2016 09:30:00 PM,040XX S DREXEL BLVD,THEFT,41.820793242,-87.604902321
HZ543306,12/07/2016 01:00:00 PM,060XX S PRAIRIE AVE,ROBBERY,41.785008425,-87.618976813
HZ543964,12/07/2016 08:45:00 PM,054XX S MICHIGAN AVE,BATTERY,41.795730196,-87.622492022
HZ544426,12/08/2016 10:25:00 AM,029XX S FEDERAL ST,ASSAULT,41.841471897,-87.629204627
HZ544865,12/08/2016 04:30:00 PM,057XX S INDIANA AVE,THEFT,41.790244457,-87.620733823
HZ545329,12/09/2016 07:30:00 AM,017XX E 67TH ST,CRIMINAL DAMAGE,41.773380122,-87.582284649
HZ547115,12/10/2016 04:35:00 PM,074XX S STONY ISLAND AVE,MOTOR VEHICLE THEFT,41.759327126,-87.586154041
HZ547377,12/10/2016 08:54:00 PM,063XX S DR MARTIN LUTHER KING JR DR,OTHER OFFENSE,41.779059693,-87.615596501
HZ550102,12/10/2016 09:00:00 AM,047XX S WABASH AVE,BURGLARY,41.808324708,-87.624432552
HZ555761,11/30/2016 03:00:00 AM,047XX S FORRESTVILLE AVE,OTHER OFFENSE,41.808468184,-87.61264938
HZ551559,12/11/2016 02:00:00 PM,077XX S PHILLIPS AVE,BURGLARY,41.754736886,-87.56507898
HZ549151,12/12/2016 04:02:00 PM,006XX W 35TH ST,BURGLARY,41.83079448,-87.642850249
HZ549331,12/12/2016 04:00:00 PM,008XX E 63RD ST,KIDNAPPING,41.780430614,-87.604505041
HZ549625,12/12/2016 10:10:00 PM,071XX S JEFFERY BLVD,ROBBERY,41.765681456,-87.576289633
HZ550687,12/13/2016 06:30:00 PM,069XX S PAXTON AVE,BATTERY,41.769398466,-87.571495105
HZ550783,12/13/2016 08:50:00 PM,068XX S STATE ST,OTHER OFFENSE,41.770177464,-87.62505067
HZ552188,12/14/2016 03:35:00 PM,038XX S CALUMET AVE,THEFT,41.825144395,-87.618240975
HZ554836,12/16/2016 12:00:00 AM,045XX S ELLIS AVE,DECEPTIVE PRACTICE,41.812567925,-87.601763819
HZ555170,12/17/2016 05:45:00 AM,048XX S PRINCETON AVE,CRIMINAL DAMAGE,41.806619998,-87.633298291
HZ556052,12/17/2016 07:00:00 PM,076XX S EAST END AVE,OTHER OFFENSE,41.756370227,-87.583428579
HZ556435,12/18/2016 07:45:00 PM,066XX S GREENWOOD AVE,BATTERY,41.774494413,-87.599714729
HZ557802,12/19/2016 06:30:00 AM,067XX S CHAPPEL AVE,BURGLARY,41.772859194,-87.575255752
HZ559246,12/20/2016 09:15:00 PM,075XX S KINGSTON AVE,BATTERY,41.758189864,-87.562717776
HZ559687,12/20/2016 11:00:00 AM,063XX S ELLIS AVE,OTHER OFFENSE,41.779419504,-87.600432194
HZ559863,12/20/2016 08:00:00 PM,048XX S CHICAGO BEACH DR,THEFT,41.807101267,-87.586402447
HZ559420,12/21/2016 04:55:00 AM,073XX S DANTE AVE,BATTERY,41.761701782,-87.589667196
HZ559663,12/21/2016 09:12:00 AM,060XX S VERNON AVE,OTHER OFFENSE,41.785268355,-87.614452924
HZ559916,12/21/2016 12:37:00 PM,071XX S CHAMPLAIN AVE,OTHER OFFENSE,41.76522681,-87.609211395
HZ560051,12/21/2016 11:30:00 AM,019XX E 71ST ST,CRIMINAL DAMAGE,41.766060565,-87.577183241
HZ560881,12/22/2016 07:25:00 AM,034XX S LITUANICA AVE,ROBBERY,41.832209089,-87.648570239
HZ561937,12/22/2016 07:40:00 PM,058XX S PAYNE DR,MOTOR VEHICLE THEFT,41.789065687,-87.607784439
HZ563586,12/23/2016 09:30:00 PM,050XX S DREXEL BLVD,THEFT,41.803502602,-87.603766824
